@relation 'sample-weka.filters.unsupervised.attribute.Remove-V-R13,22,68,74,131,220,221,259,261,263,267,276,281,284,295,316,317,318,320,340,341,343,347,389,392,397,443,506,512,520,521,533'

@attribute X13 numeric
@attribute X22 numeric
@attribute X68 numeric
@attribute X74 numeric
@attribute X131 numeric
@attribute X220 numeric
@attribute X221 numeric
@attribute X259 numeric
@attribute X261 numeric
@attribute X263 numeric
@attribute X267 numeric
@attribute X276 numeric
@attribute X281 numeric
@attribute X284 numeric
@attribute X295 numeric
@attribute X316 numeric
@attribute X317 numeric
@attribute X318 numeric
@attribute X320 numeric
@attribute X340 numeric
@attribute X341 numeric
@attribute X343 numeric
@attribute X347 numeric
@attribute X389 numeric
@attribute X392 numeric
@attribute X397 numeric
@attribute X444 numeric
@attribute X507 numeric
@attribute X513 numeric
@attribute X521 numeric
@attribute X522 numeric
@attribute Lable {acc,unacc}

@data
5.473662,12.087894,-0.10091,4.317594,1.435185,4.82262,4.560734,3.838388,3.902897,1.785154,3.98209,6.069141,6.14284,6.438017,6.548734,1.941914,-3.588127,-3.61213,30.611545,4.505656,3.318046,6.567474,7.345385,-2.705638,6.208099,2.007653,10.83092,2.719583,-18.707,3.248516,3.621592,acc
16.285349,20.849197,14.463736,8.136086,13.459877,14.639449,4.654372,9.225962,14.410819,10.549892,11.244278,16.442992,5.59,16.346878,10.7839,13.73308,8.433992,8.517139,19.897135,7.774107,15.053578,15.436311,8.54503,6.951966,7.949956,2.925702,23.081215,17.243125,7.0575,16.603977,17.117207,acc
10.585753,18.748215,5.612216,2.007084,9.317901,9.182134,5.095541,2.994822,5.473178,2.115738,3.961504,11.058753,13.380741,12.751837,9.470784,3.27151,-2.383059,-4.184319,12.269531,8.487841,3.754485,11.480374,11.92787,-4.071777,11.43535,3.58801,18.267583,11.98375,-9.8718,6.423123,6.804681,acc
12.329101,17.247918,9.559111,10.400553,10.015432,10.265739,5.067095,10.222633,10.939226,8.203759,11.291914,10.569557,6.412716,8.235537,9.003369,2.19931,5.489708,-2.669959,33.114583,7.870322,13.571904,9.42766,6.288166,4.533928,7.764551,1.912628,19.128735,18.449861,11.4197,8.810964,9.026162,acc
13.812082,18.002528,10.927801,10.108169,11.209877,11.537922,3.486809,9.288092,12.269239,7.286101,15.536787,10.167756,4.232963,8.665748,9.801405,0.909608,9.547786,5.579931,41.650608,8.925771,15.253762,8.9395,6.264911,8.98403,8.457986,2.520089,19.949141,21.56276,8.1652,8.956116,9.348503,acc
11.872917,21.937388,1.398152,13.389955,0.611111,8.47692,4.818008,13.536982,14.033047,11.871282,17.421448,8.105651,3.854691,7.033287,9.832018,20.121046,-0.159783,39.313405,138.357205,9.304223,13.159722,7.656953,8.792959,41.08461,5.906913,2.133929,19.891717,4.125174,41.7094,5.483095,6.275867,acc
11.565995,15.445122,7.313802,6.592455,7.348765,8.629171,5.191517,9.525518,12.104685,7.803542,6.055291,8.090886,7.286667,9.310836,7.64797,11.276671,1.975307,2.962203,21.357639,10.945801,9.380739,5.977887,6.890355,6.828986,8.199324,3.151148,16.222547,7.818663,7.5215,5.686857,6.146946,acc
1.920938,3.558745,0.427988,0.952117,0.354938,0.74364,1.20224,0.922707,1.509393,0.914008,2.257209,2.232022,0.974444,1.365473,1.819732,3.461546,-0.212118,5.885957,22,1.118296,1.442033,2.306931,1.563669,4.529464,0.936973,0.441327,3.025698,1.057309,0.3134,1.165262,1.278724,acc
13.586771,18.668055,9.381685,6.23511,9.570988,9.861659,5.643386,14.144601,13.86555,11.621011,15.218639,8.977285,6.386173,7.638659,8.394395,0.676623,7.173072,4.541465,50.608073,8.842916,16.306038,8.161603,7.571893,15.4288,8.930867,2.293367,20.569181,18.426354,20.5493,8.280346,8.604727,acc
14.722557,19.430993,11.308782,4.218593,10.515432,11.508582,5.258572,5.710059,7.918289,4.395619,8.769917,13.739778,7.866049,9.871671,11.781229,3.340809,6.46354,2.49396,26.378038,7.699147,10.593075,12.393761,9.129822,1.785337,8.243749,2.443559,21.121628,19.020764,1.7305,10.042179,10.153014,acc
