@relation 'sample-weka.filters.unsupervised.attribute.Remove-V-R13,22,68,74,131,220,221,259,261,263,267,276,281,284,295,316,317,318,320,340,341,343,347,389,392,397,443,506,512,520,521,533'

@attribute X13 numeric
@attribute X22 numeric
@attribute X68 numeric
@attribute X74 numeric
@attribute X131 numeric
@attribute X220 numeric
@attribute X221 numeric
@attribute X259 numeric
@attribute X261 numeric
@attribute X263 numeric
@attribute X267 numeric
@attribute X276 numeric
@attribute X281 numeric
@attribute X284 numeric
@attribute X295 numeric
@attribute X316 numeric
@attribute X317 numeric
@attribute X318 numeric
@attribute X320 numeric
@attribute X340 numeric
@attribute X341 numeric
@attribute X343 numeric
@attribute X347 numeric
@attribute X389 numeric
@attribute X392 numeric
@attribute X397 numeric
@attribute X444 numeric
@attribute X507 numeric
@attribute X513 numeric
@attribute X521 numeric
@attribute X522 numeric
@attribute Class {acc,unacc}

@data
7.668539,11.097561,-6.909833,-7.891877,-2.407407,2.38113,-3.850127,1.442308,4.660933,5.712547,5.286564,5.295789,2.078395,6.052342,1.858974,37.0956,-10.125721,55.337792,48.778212,1.468612,5.266204,2.935121,2.85,34.809269,0.654729,4.410714,8.460744,-3.077344,-31.213,2.861863,2.474892,acc
4.157737,7.836109,1.358088,9.327325,0.598765,1.196277,4.402909,1.369453,1.984043,2.499189,4.312351,2.557119,0.918272,3.78214,4.302844,8.682069,8.927075,52.88513,161.897569,2.300028,2.355806,2.916793,4.312722,63.168147,1.277936,1.155612,5.857028,0.345538,98.3115,1.243583,1.063417,acc
2.49671,5.847115,-1.168277,-7.516988,-0.481481,1.49818,2.390768,2.322115,1.799004,0.645484,0.115785,0.955319,0.735062,3.205234,3.262369,0.524923,-3.414907,-6.433313,9.456163,2.233198,-0.822,2.230536,3.294615,10.879453,2.01279,1.076531,5.172154,-0.122726,2.026,0.159479,0.418315,acc
2.249432,3.0116,1.824545,1.917075,1.555556,1.848518,1.162024,0.559911,1.107515,1.28245,0.820378,2.898947,0.688272,3.499311,1.771285,3.527396,0.567888,1.743299,16.098958,0.584504,1.616561,2.951665,1.401183,9.765349,0.605484,0.508929,3.049318,1.767326,8.9961,2.817287,2.863678,acc
1.617125,2.071981,1.124414,-1.014764,0.716049,1.217072,0.386873,0.903846,0.719104,-0.091401,-0.258026,1.018449,0.188642,2.059458,1.66568,0.255291,1.067848,-0.541915,-3.427083,0.743661,-0.704668,1.533304,0.666272,-1.534589,0.82551,0.338329,2.516324,2.113403,-0.4203,0.877899,0.825576,acc
6.42153,8.477097,2.390176,0.91588,2.219136,3.83258,0.151323,2.248521,5.030217,2.559492,5.925832,3.908753,1.901111,4.120064,3.121302,12.334518,-0.862227,2.470926,13.050781,2.534523,4.371238,3.463722,2.947515,-2.714251,2.793205,2.268495,8.398052,3.008698,-7.4552,3.645029,3.91394,acc
4.220687,6.46163,0.434744,-0.254815,2.814815,3.073122,3.231764,3.968195,5.690131,4.996755,3.636445,2.836953,1.118148,5.767447,3.911078,0.58113,-2.061448,-8.362393,4.129774,4.033486,3.329524,3.717236,3.156095,-7.305938,4.123481,0.831633,6.506412,2.622378,-4.3952,2.585675,2.960609,acc
3.426524,5.426532,0.99057,-3.177818,1.046296,1.32433,1.971751,0.775518,1.935491,0.57788,-0.210835,2.935983,1.931728,3.048898,2.623274,1.801486,0.253365,1.692005,9.468316,2.97554,0.475791,2.958856,3.333432,3.643275,2.233986,0.398597,5.416822,2.20283,-3.2894,1.071991,1.151506,acc
12.117496,14.225312,9.971008,5.262343,8.123457,5.8696,5.542463,7.766642,11.280896,8.784343,10.154504,6.917756,0.988765,8.636134,7.122945,8.3078,19.551354,59.034558,152.613715,6.472783,7.934221,7.516814,6.238343,76.192294,4.69314,2.236926,15.198663,14.177899,108.0024,7.934835,7.376478,acc
3.653256,8.208656,-1.326281,4.110363,-0.91358,1.591489,3.869335,3.846893,1.901766,2.61371,6.161489,2.917313,2.604938,2.584481,2.248644,9.328526,2.550753,34.177509,84.110243,1.684749,3.179446,2.611213,4.462189,35.77682,2.023839,1.945791,6.569394,-1.183229,33.6294,2.957527,2.908812,acc
