@relation 'sample-weka.filters.unsupervised.attribute.Remove-V-R13,22,68,74,131,220,221,259,261,263,267,276,281,284,295,316,317,318,320,340,341,343,347,389,392,397,443,506,512,520,521,533'

@attribute X13 numeric
@attribute X22 numeric
@attribute X68 numeric
@attribute X74 numeric
@attribute X131 numeric
@attribute X220 numeric
@attribute X221 numeric
@attribute X259 numeric
@attribute X261 numeric
@attribute X263 numeric
@attribute X267 numeric
@attribute X276 numeric
@attribute X281 numeric
@attribute X284 numeric
@attribute X295 numeric
@attribute X316 numeric
@attribute X317 numeric
@attribute X318 numeric
@attribute X320 numeric
@attribute X340 numeric
@attribute X341 numeric
@attribute X343 numeric
@attribute X347 numeric
@attribute X389 numeric
@attribute X392 numeric
@attribute X397 numeric
@attribute X444 numeric
@attribute X507 numeric
@attribute X513 numeric
@attribute X521 numeric
@attribute X522 numeric
@attribute Class {acc,unacc}

@data
4.45149,5.940512,0.08191,0.960429,-0.990741,2.702044,0.593015,1.273669,1.177003,-0.111006,2.637857,2.501219,1.372099,1.874197,3.308103,-1.743971,-1.176066,-6.60578,-2.531684,1.851847,1.408324,2.756163,2.782071,-8.38646,1.387059,1.121811,6.425445,2.940868,-11.7892,1.198546,1.253269,acc
0.615997,1.43367,0.394258,0.373827,1.037037,0.778719,0.784379,0.234837,0.088275,-0.121823,0.105603,0.717479,2.367407,0.678834,0.767382,-0.347491,0.370774,2.177115,6.713542,0.405811,0.249518,0.568285,1.181598,2.042524,1.212791,0.172194,1.224831,1.185069,0.0333,0.317633,0.34955,unacc
5.714414,8.151101,2.08951,-1.658733,0.873457,2.884137,1.510677,2.056953,3.515392,1.877366,2.918772,4.035429,1.258025,3.645317,4.006986,6.507717,3.652772,17.546839,40.733507,2.961613,1.543789,4.506596,3.622249,15.648689,2.085681,1.19324,8.284731,4.132899,18.4141,2.85389,2.878407,unacc
8.307829,13.850982,2.97401,-1.674392,3.564815,4.565061,7.374609,5.051036,7.945224,4.55814,4.597652,6.79277,4.892099,10.050505,7.094223,11.842414,-1.476258,4.654689,29.178385,6.338957,4.342785,7.42101,8.391538,11.500578,6.806795,1.502232,13.170237,4.790521,-1.1364,6.530068,7.185224,unacc
5.934746,11.724866,2.482173,0.838654,2.447531,5.108597,5.204834,7.792899,5.076732,2.983234,3.925684,4.250609,5.143951,4.683196,6.869247,3.805945,4.232377,30.312201,101.827691,5.909275,2.144724,4.737295,7.326331,34.978725,5.005105,0.857143,11.027154,4.442986,38.707,2.279044,2.213106,unacc
9.179412,12.783314,3.507412,-5.226761,3.512346,5.971629,6.014717,5.444896,6.36091,2.16874,3.042137,5.03205,5.279877,7.407713,8.843894,-0.096932,1.891902,-3.064057,3.310764,8.889198,2.204716,5.413873,7.636686,-7.263003,7.120272,1.296556,13.957649,6.453142,-8.4759,3.931336,4.190243,unacc
2.249432,3.0116,1.824545,1.917075,1.555556,1.848518,1.162024,0.559911,1.107515,1.28245,0.820378,2.898947,0.688272,3.499311,1.771285,3.527396,0.567888,1.743299,16.098958,0.584504,1.616561,2.951665,1.401183,9.765349,0.605484,0.508929,3.049318,1.767326,8.9961,2.817287,2.863678,acc
4.71757,5.191553,3.699287,2.289741,3.567901,3.358536,2.183529,3.004808,5.308511,3.464035,2.89997,2.597895,1.198765,3.292929,2.799186,2.733365,3.689974,-0.861977,5.921441,3.259803,4.669174,2.222913,1.960592,2.497558,2.814552,0.767219,5.920847,5.128854,3.2848,2.877376,3.022687,unacc
3.567842,5.347115,1.453228,0.343856,1.688272,3.115986,2.54254,2.867234,3.884903,2.055706,0.617643,1.653213,1.09321,3.946051,3.771203,2.404328,0.610234,3.167894,11.087674,3.126638,1.437645,1.998054,3.979172,5.363255,3.106618,0.235013,5.146425,2.371163,-0.4012,1.667203,1.841904,unacc
3.109014,3.267103,2.379058,3.168764,2.358025,3.178551,0.620136,2.105399,3.239814,2.397918,1.107387,2.282687,0.254321,3.103306,2.670694,0.503841,2.688782,0.068009,2.455729,1.658356,3.004581,2.432904,1.594911,0.362454,1.541313,0.21014,3.757769,3.373056,-0.6867,2.000748,2.185459,unacc
