@relation 'sample-weka.filters.unsupervised.attribute.Remove-V-R131,267,280,281,295,316,317,318,320,340,389,392,397,506,512,533'

@attribute X131 numeric
@attribute X267 numeric
@attribute X280 numeric
@attribute X281 numeric
@attribute X295 numeric
@attribute X316 numeric
@attribute X317 numeric
@attribute X318 numeric
@attribute X320 numeric
@attribute X340 numeric
@attribute X389 numeric
@attribute X392 numeric
@attribute X397 numeric
@attribute X507 numeric
@attribute X513 numeric
@attribute Class {acc,unacc}

@data
7.564815,7.852408,3.996605,6.085309,9.356427,4.115339,0.077699,-0.295566,8.559462,9.428952,3.688919,7.182867,0.97736,10.199063,-2.1592,unacc
1.885802,10.406139,1.460502,0.550617,2.347345,1.442723,1.336076,-0.01998,14.758247,3.00747,-2.253169,2.562079,1.405931,6.839931,-2.7428,acc
0.117284,1.70764,0.326845,1.079136,2.361234,1.334304,0.339281,3.11789,11.751302,1.995122,3.804735,1.601435,0.30389,1.524549,2.2241,unacc
5.595679,1.750372,1.935265,2.101481,4.166708,0.723496,5.246505,-0.018728,-1.559896,2.327811,0.756272,2.95284,1.075574,9.001667,5.4611,unacc
2.67284,2.853968,1.101969,0.789877,5.910092,2.257051,0.962436,-2.77903,-1.140625,4.656565,-6.725653,4.143543,0.879464,4.685833,-2.2388,acc
2.848765,4.266944,1.243889,0.780741,2.691856,4.136766,2.994357,6.243776,17.128906,1.640942,6.261182,1.824237,1.305485,5.192517,5.7829,acc
2.203704,10.790205,2.132979,0.816049,2.241905,15.81786,-4.011179,6.627059,19.767361,2.857951,-2.802126,2.324934,3.615115,2.439965,-18.9455,acc
1.787037,6.42665,0.178135,0.296173,3.480769,2.513662,0.989805,8.973031,71.438802,2.777547,10.796121,1.798454,1.408482,3.992326,21.1785,acc
-0.216049,4.439952,1.464011,2.00716,3.378821,3.993757,-1.09563,21.102594,112.594618,2.187789,28.10564,1.097908,1.276148,-1.454687,47.6509,acc
-0.074074,1.512634,1.719443,3.098519,5.213881,5.590036,-3.716304,0.976335,4.567708,4.801371,-0.823064,3.256918,1.434311,0.918316,-15.2904,unacc
0.311728,3.482387,1.217519,0.916296,3.539694,5.607372,0.015557,18.322543,43.153646,2.305872,17.202067,2.250009,0.790816,0.082222,21.2096,acc
0.376543,2.640829,0.215935,0.259877,2.409188,5.727562,0.026015,2.178113,1.16276,0.993449,-0.300559,1.01734,1.316327,1.279497,-0.4343,acc
2.123457,4.364521,1.148257,0.361728,4.470003,2.877099,2.373926,6.490284,27.087674,3.945212,9.108594,2.574413,0.617028,4.438003,7.5565,unacc
0.617284,4.654949,1.922929,2.480123,2.435528,13.307527,-1.323651,8.541701,19.787326,2.031059,3.78019,2.815487,2.317602,2.39967,-4.7851,acc
0.929012,2.069263,0.671797,0.550247,1.168187,2.189501,0.70809,0.233903,-1.916667,0.61872,-0.478401,0.813058,0.659758,2.107934,-2.1504,unacc
5.953704,2.702883,4.77603,5.311852,11.295283,6.170654,6.350224,9.450999,32.104601,8.845909,12.819611,8.077035,1.818878,9.648368,2.3966,unacc
4.891975,9.70385,1.842689,1.133951,3.498356,-0.447134,5.120323,-0.166721,7.756076,3.193539,1.247094,3.151465,1.639987,11.457708,2.9615,acc
2.820988,1.934676,1.058171,1.059259,2.366741,-2.109667,1.924634,-0.185667,2.005208,2.492789,-0.166287,2.72101,0.807398,5.904462,-0.383,unacc
-0.07716,2.64893,0.473291,0.52284,1.296515,7.070452,7.815154,42.546248,101.951823,0.490338,47.591337,0.112762,0.581633,0.199219,74.823,acc
3.746914,3.669441,5.927003,4.591111,5.577005,2.891308,0.454402,2.588444,6.311198,6.018781,-1.901188,3.967304,0.65625,5.984774,-3.1048,acc
3.756173,3.29184,2.380036,0.756049,3.728674,1.786064,3.56753,-2.902234,-2.150608,4.985578,-11.834763,4.565457,1.15051,7.343212,-8.461,unacc
1.746914,10.49948,1.218538,1.451852,7.655819,14.76547,4.397147,34.622704,77.869358,6.107008,33.896636,4.904289,3.011798,4.454063,35.8847,acc
